ratio_id,epoch,Spec@R99.0
hn00,1,0.27381
hn00,2,0.059524
hn00,3,0.035714
hn00,4,0.142857
hn00,5,0.22619
hn00,6,0.321429
hn00,7,0.380952
hn00,8,0.095238
hn00,9,0.119048
hn00,10,0.309524
hn00,11,0.25
hn00,12,0.261905
hn00,13,0.202381
hn00,14,0.261905
hn00,15,0.333333
hn00,16,0.25
hn00,17,0.369048
hn00,18,0.369048
hn00,19,0.285714
hn00,20,0.238095
hn00,21,0.333333
hn00,22,0.416667
hn00,23,0.392857
hn00,24,0.392857
hn00,25,0.452381
hn00,26,0.440476
hn00,27,0.392857
hn00,28,0.452381
hn00,29,0.47619
hn00,30,0.416667
hn00,31,0.428571
hn00,32,0.357143
hn00,33,0.321429
hn00,34,0.369048
hn00,35,0.369048
hn00,36,0.380952
hn00,37,0.571429
hn00,38,0.357143
hn00,39,0.345238
hn00,40,0.428571
hn00,41,0.392857
hn00,42,0.464286
hn00,43,0.464286
hn00,44,0.428571
hn00,45,0.392857
hn00,46,0.464286
hn00,47,0.416667
hn00,48,0.392857
hn00,49,0.380952
hn00,50,0.452381
hn00,51,0.369048
hn00,52,0.511905
hn00,53,0.511905
hn00,54,0.52381
hn00,55,0.52381
hn00,56,0.428571
hn00,57,0.464286
hn00,58,0.47619
hn00,59,0.428571
hn00,60,0.571429
hn00,61,0.440476
hn00,62,0.511905
hn00,63,0.488095
hn00,64,0.488095
hn00,65,0.416667
hn00,66,0.511905
hn00,67,0.464286
hn00,68,0.404762
hn00,69,0.464286
hn00,70,0.559524
hn00,71,0.452381
hn00,72,0.440476
hn00,73,0.5
hn00,74,0.583333
hn00,75,0.511905
hn00,76,0.52381
hn00,77,0.619048
hn00,78,0.654762
hn00,79,0.547619
hn00,80,0.511905
hn00,81,0.464286
hn00,82,0.52381
hn00,83,0.52381
hn00,84,0.559524
hn00,85,0.5
hn00,86,0.535714
hn00,87,0.547619
hn00,88,0.52381
hn00,89,0.559524
hn00,90,0.559524
hn00,91,0.511905
hn00,92,0.619048
hn00,93,0.571429
hn00,94,0.654762
hn00,95,0.583333
hn00,96,0.416667
hn00,97,0.595238
hn00,98,0.52381
hn00,99,0.488095
hn00,100,0.464286
